,Film,Film Studio/Producer(s),Award,Year of Release,Movie Time,Movie Genre,IMDB Rating,Movie Info,Critic Consensus,Content Rating,Directors,Actors,Streaming Release Date,Tomatometer Status,Tomatometer Rating,Audience Status,Audience Rating,Film ID
259,Guess Who's Coming to Dinner,Stanley Kramer,Nominee,1967,108,"Comedy,Drama",7.8,"When Joanna Drayton (Katharine Houghton), a free-thinking white woman, and black doctor John Prentice (Sidney Poitier) become engaged, they travel to San Francisco to meet her parents. Matt Drayton (Spencer Tracy) and his wife Christina (Katharine Hepburn) are wealthy liberals who must confront the latent racism the coming marriage arouses. Also attending the Draytons' dinner are Prentice's parents (Roy E. Glenn Sr., Beah Richards), who vehemently disapprove of the relationship.","More well-intentioned than insightful in its approach to interracial marriage, Guess Who's Coming to Dinner succeeds thanks to the fizzy chemistry of its star-studded ensemble.",NR,Stanley Kramer,"Spencer Tracy, Katharine Hepburn, Sidney Poitier, Katharine Houghton, Cecil Kellaway, Beah Richards, Isabel Sanford, Virginia Christine, Alexandra Hay, Barbara Randolph, Tom Heaton, D'Urville Martin, Grace Gaynor, Skip Martin, John Bear Hudkins, Thomas Heaton, Roy E. Glenn Sr.",2012-04-16,Fresh,70.0,Upright,85.0,2c26535d-eada-47be-8af1-75bbe5eeed78
260,Oliver!,John Woolf,Winner,1968,153,"Drama,Family,Musical",7.4,"In this award-winning adaptation of the Broadway musical based on the Charles Dickens novel, 9-year-old orphan Oliver Twist (Mark Lester) falls in with a group of street-urchin pickpockets led by the Artful Dodger (Jack Wild) and masterminded by the criminal Fagin (Ron Moody). When Oliver's intended mark, Mr. Brownlow (Joseph O'Conor), takes pity on the lad and offers him a home, Fagin's henchman Bill Sikes (Oliver Reed) plots to kidnap the boy to keep him from talking.","It has aged somewhat awkwardly, but the performances are inspired, the songs are memorable, and the film is undeniably influential.",G,Carol Reed,"Ron Moody, Oliver Reed, Mark Lester, Shani Wallis, Jack Wild, Hugh Griffith, Harry Secombe, Joseph O'Conor, Leonard Rossiter, Peggy Mount, Hylda Baker, Kenneth Cranham, Megs Jenkins, Sheila White, Wensley Pithey, James Hayter, Elizabeth Knight, Fred Emney, Edwin Finn, Foy Evans, Norman Mitchell, Robert Bartlett, Graham Buttrose, Jeffrey Chandler, Kirk Clugeston, Dempsey Cook, Christopher Duff, William Smith, Nigel Grice, Ronnie Johnson, Nigel Kingsley, Robert Langley, Brian Lloyd, Peter Lock, Ian Ramsey, Peter Renn, Bill Smith, Kim Smith, Freddie Stead, Raymond Ward, John Watters, Clive Moss, Veronica Page, Henry Kay, Jane Peach, Keith Roberts, Peter Hoar, John Baskcomb, Norman Pitt, Arnold Locke, Frank Crawshaw",2012-04-16,Fresh,82.0,Upright,81.0,bc77f25e-71fa-4563-be5d-47648fe69070
261,Funny Girl,Ray Stark,Nominee,1968,151,"Biography,Comedy,Drama",7.4,"In this bittersweet, classic musical drama, the vibrant and beautiful young Fanny Brice (Barbra Streisand) starts out as a bit player on the New York City vaudeville stage, but works her way up to stardom on Broadway. Valued for her vocal and comedic talents by the renowned theater impresario Florenz Ziegfeld (Walter Pidgeon), Fanny thrives, but her relationship with her suave, imprisoned businessman husband, Nick Arnstein (Omar Sharif), is another story.",Barbara Streisand elevates this otherwise rote melodramatic musical with her ultra-memorable star turn as Fanny Brice.,G,William Wyler,"Barbra Streisand, Omar Sharif, Kay Medford, Walter Pidgeon, Anne Francis, Lee Allen, Mae Questel, Gerald Mohr, Frank Faylen, Mittie Lawrence, Gertrude Flynn, Penny Santon, John Harmon, Thordis Brandt, Bettina Brenna, Virginia Ann Ford, Alena Johnston, Raymond Guth, Karen Lee, Mary Jane Mangler, Tommy Rall, Inga Neilsen, Sharon Vaughn",2012-04-16,Certified-Fresh,93.0,Upright,85.0,83010621-a7cc-4e5e-b770-7bdb7c643cd2
262,The Lion in Winter,Martin Poll,Nominee,1968,134,"Biography,Drama,History",7.9,"It's Christmas 1183, and King Henry II (Peter O'Toole) is planning to announce his successor to the throne. The jockeying for the crown, though, is complex. Henry has three sons and wants his boy Prince John (Nigel Terry) to take over. Henry's wife, Queen Eleanor (Katharine Hepburn), has other ideas. She believes their son Prince Richard (Anthony Hopkins) should be king. As the family and various schemers gather for the holiday, each tries to make the indecisive king choose their option.","Sharper and wittier than your average period piece, The Lion in Winter is a tale of palace intrigue bolstered by fantastic performances from Peter O'Toole, Katharine Hepburn, and Anthony Hopkins in his big-screen debut.",PG,Anthony Harvey,"Katharine Hepburn, Peter O'Toole, Anthony Hopkins, Jane Merrow, John Castle, Timothy Dalton, Nigel Stock, Nigel Terry, O.Z. Whitehead, Kenneth Griffith, Henry Woolf, Kenneth Ives, Henry Wolff, Karol Hagar, Mark Griffith",2016-08-09,Certified-Fresh,90.0,Upright,90.0,15a28039-7a34-4e2d-89ea-ff8d61b669ff
264,Romeo and Juliet,Anthony Havelock-Allan and John Brabourne,Nominee,1968,138,"Drama,Romance",7.6,"In the Italian city of Verona, the Montague and the Capulet families are perpetually feuding. When Romeo (Leonard Whiting), a handsome young Montague, disregards convention by attending a Capulet ball, he falls in love with the beautiful Juliet (Olivia Hussey), a Capulet. After a brief courtship, the two elope, creating even greater tension between their families. Italian director Franco Zeffirelli's film is considered one of the best screen versions of Shakespeare's classic love story.",The solid leads and arresting visuals make a case for Zeffirelli's Romeo and Juliet as the definitive cinematic adaptation of the play.,PG,Franco Zeffirelli,"Olivia Hussey, Leonard Whiting, Milo O'Shea, Michael York, Murray Head, John McEnery, Pat Heywood, Natasha Parry, Robert Stephens, Keith Skinner, Richard Warwick, Dyson Lovell, Ugo Barbone, Bruce Robinson, Paul Hardwick, Antonio Pierfederici, Esmeralda Ruspoli, Roberto Bisacco, Roy Holder, Aldo Miranda, Dario Tanzini, Maria Fracci, Roberto Antonelli, Laurence Olivier, Carlo Palmucci",2015-11-22,Fresh,95.0,Upright,74.0,b89ed64f-55e8-4c3e-80ee-e7ba748531ab
265,Midnight Cowboy,Jerome Hellman,Winner,1969,113,Drama,7.8,"Convinced of his irresistible appeal to women, Texas dishwasher Joe Buck (Jon Voight) quits his job and heads for New York City, thinking he'll latch on to some rich dowager. New York, however, is not as hospitable as he imagined, and Joe soon finds himself living in an abandoned building with a Dickensian layabout named Enrico ""Ratso"" Rizzo (Dustin Hoffman). The two form a rough alliance, and together they kick-start Joe's hustling career just as Ratso's health begins to deteriorate.","John Schlesinger's gritty, unrelentingly bleak look at the seedy underbelly of urban American life is undeniably disturbing, but Dustin Hoffman and Jon Voight's performances make it difficult to turn away.",R,John Schlesinger,"Dustin Hoffman, Jon Voight, John McGiver, Brenda Vaccaro, Ruth White, Barnard Hughes, Sylvia Miles, Viva, Jennifer Salt, Gil Rankin, Gary Owens, George Epperson, T. Tom Marlow, George Eppersen, Al Scott, Linda Davis, J.T. Masters, Arlene Reeder, Georgann Johnson, Jonathan Kramer, Bob Balaban, Anthony Holland, Jan Tice, Paul Benjamin, Peter Scalia, Vito Siracusa, Peter Zamaglias, Arthur Anderson, Tina Scala, Alma Felix, Richard Clarke, Ann Thomas, Gastone Rossilli, Joan Murphy, Al Stetson, Ultra Violet, Paul Jabara, International Velvet, William Door, Cecelia Lipson, Taylor Mead, Paul Morrissey, Paul Jasmin, M. Emmet Walsh",2016-01-11,Certified-Fresh,88.0,Upright,88.0,bc91f715-a16b-4de7-8aa5-7b0b2f875bdb
267,Butch Cassidy and the Sundance Kid,John Foreman,Nominee,1969,110,"Biography,Crime,Drama",8.0,"The true story of fast-draws and wild rides, battles with posses, train and bank robberies, a torrid love affair and a new lease on outlaw life in far away Bolivia. It is also a character study of a remarkable friendship between Butch - possibly the most likeable outlaw in frontier history - and his closest associate, the fabled, ever-dangerous Sundance Kid.","With its iconic pairing of Paul Newman and Robert Redford, jaunty screenplay and Burt Bacharach score, Butch Cassidy and the Sundance Kid has gone down as among the defining moments in late-'60s American cinema.",PG,George Roy Hill,"Paul Newman, Robert Redford, Katharine Ross, Strother Martin, Jeff Corey, George Furth, Cloris Leachman, Ted Cassidy, Kenneth Mars, Henry Jones, Donnelly Rhodes, Jo Gilbert, Jody Gilbert, Timothy Scott, Don Keefer, Charles Dierkop, Pancho Cordova, Nelson Olmsted, Paul Bryar, Sam Elliott, Charles Akins, Eric Sinclair, Burt Bacharach",2015-11-25,Certified-Fresh,90.0,Upright,92.0,174d890a-717f-4f2d-bff6-03b91ede8466
268,"Hello, Dolly!",Ernest Lehman,Nominee,1969,146,"Adventure,Comedy,Musical",7.1,"In 1890s New York City, the bold and enchanting widow Dolly Levi (Barbra Streisand) is a socialite-turned-matchmaker. Her latest clients seeking assistance are the cantankerous ""half-a-millionaire"" Horace Vandergelder (Walter Matthau) and a young artist named Ambrose (Tommy Tune), who is in love with Horace's niece, Ermengarde (Joyce Ames). Dolly's scheming soon involves Horace's employees as well as a New York hatmaker, as she tries to cover up her own secret romantic designs.","Though Streisand charms, she's miscast as the titular middle-aged widow in Gene Kelly's sluggish and over-produced final directorial effort.",G,Gene Kelly,"Barbra Streisand, Walter Matthau, Michael Crawford, Marianne McAndrew, Louis Armstrong, E.J. Peaker, Danny Lockin, Tommy Tune, Judy Knaiz, Joyce Ames, David Hurst, Fritz Feld, Richard Collier, J. Pat O'Malley, David Ahdar, Will Ahern, Harry Monty, Ralph Roberts, Melanie Alexander, Jim Hutchinson, Scatman Crothers, Ben Archibek",2015-11-25,Rotten,43.0,Upright,76.0,204c5d1d-ac8b-41fe-ba95-77c323121c43
269,Z,Jacques Perrin and Ahmed Rachedi,Nominee,1969,127,"Crime,Drama,History",8.3,"Repression is the rule of the day in this film that skewers Greek governance of the 1960s. Z (Yves Montand), a leftist rabble rouser, is killed in what appears to be a traffic accident. But given the political climate, the death of such a prominent activist raises troubling questions. Though it's too late to save Z's life, a postmortem examination suggests that the ruling party was behind his death. As the facts leak out, those who tell the truth pay the price for their honesty.","Powerfully effective, this anti-fascist political thriller stands out as both high-conscience melodrama and high-tempo action movie.",PG,Costa-Gavras,"Yves Montand, Irene Papas, Jean-Louis Trintignant, Jacques Perrin, Charles Denner, François Périer, Pierre Dux, Julien Guiomar, Bernard Fresson, Renato Salvatori, Marcel Bozzuffi, Jean Bouise, Georges Géret, Magali Noël, Jean Daste, Jean-Pierre Miquel, Guy Mairesse, Clotilde Joano, Maurice Baquet, Gérard Darrieu, José Artur, Van Doude, Eva Simonet, Hassan Hassani, Gabriel Jabbour, Jean-Francois Gobbi, Andree Tainsy, Steve Gadler, Bob de Bragelonne, Sid Ahmed Agoumi, Allel El Mouhib, Habib Reda, Georges Rouquier",2017-03-07,Certified-Fresh,93.0,Upright,93.0,65fd73b8-d854-42fb-97eb-2ed7866c831d
270,Patton,Frank McCarthy,Winner,1970,172,"Biography,Drama,War",7.9,"Biography of controversial World War II hero General George S. Patton. The film covers his wartime activities and accomplishments, beginning with his entry into the North African campaign and ending with his removal from command after his outspoken criticism of US post-war military strategy.","George C. Scott's sympathetic, unflinching portrayal of the titular general in this sprawling epic is as definitive as any performance in the history of American biopics.",PG,Franklin J. Schaffner,"George C. Scott, Karl Malden, Michael Bates, Edward Binns, Karl Michael Vogler, Paul Stevens, Stephen Young, Morgan Paull, Michael Strong, Lawrence Dobkin, John Doucette, James Edwards, Frank Latimore, Newsreels, Richard Münch, Siegfried Rauch, Peter Barkworth, John Barrie, David Bauer, Tim Considine, Gerald Flood, Jack Gwillim, David Healy, Bill Hickman, Carey Loftin, Lionel Murton, Sandy Kevin, Douglas Wilmer, Patrick J. Zurica, Alan MacNaughton, Lowell Thomas, Alan MacNaughtan, Clint Ritchie, Harry Morgan",2015-11-25,Certified-Fresh,94.0,Upright,93.0,542831fe-9ee4-4997-badb-98cabd43c3d2
272,Five Easy Pieces,Bob Rafelson and Richard Wechsler,Nominee,1970,98,Drama,7.5,"Rejecting his cultured upper-class background as a classical pianist, Robert Dupea (Jack Nicholson) opts for a blue-collar existence, working in a California oil field and spending time with his waitress girlfriend, Rayette (Karen Black). But when Robert discovers that his father is gravely ill, he wants to reunite with his estranged family in the state of Washington. He and Rayette take a road trip that brings the two paths of his life to an uncomfortable intersection.","An important touchstone of the New Hollywood era, Five Easy Pieces is a haunting portrait of alienation that features one of Jack Nicholson's greatest performances.",R,"Bob Rafelson, Dennis Hopper","Jack Nicholson, Karen Black, Peter Fonda, Dennis Hopper, Susan Anspach, Ralph Waite, Billy Green Bush, Fannie Flagg, Sally Struthers, Marlena MacGuire, William Challee, Lois Smith, Toni Basil, Lorna Thayer, Richard Stahl, Helena Kallianiotes, Irene Dailey, John P. Ryan, Irene Daly, Mariena MacGuire",2012-04-16,Certified-Fresh,88.0,Upright,84.0,0d283411-d75d-413e-b31c-ece555cf661f
273,Love Story,Howard G. Minsky,Nominee,1970,100,"Drama,Romance",6.9,"When wealthy Harvard University law student Oliver Barrett IV (Ryan O'Neal) meets Jenny Cavilleri (Ali MacGraw), a middle-class girl who is studying music at Radcliffe College, it's love at first sight. Despite the protests of Oliver's father (Ray Milland), the young couple marry. Oliver finds a job at a legal firm in New York City, but their happy life comes crashing down when it's discovered that Jenny has a terminal illness. Together, they try to cope with the situation as best they can.","Earnest and determined to make audiences swoon, Love Story is an unabashed tearjerker that will capture hearts when it isn't inducing eye rolls.",PG,Arthur Hiller,"Ali MacGraw, Ryan O'Neal, John Marley, Ray Milland, Katharine Balfour, Russell Nype, Sydney Walker, Robert Modica, Walker Daniels, Tommy Lee Jones, John Merensky, Andrew Duncan, Bob O'Connell, Sudie Bond, Milo Boulton, Julie Garfield, Charlotte Ford",2014-06-06,Fresh,68.0,Upright,75.0,0a7e8fe6-3614-4599-bdf3-1bc14f161ffa
274,M*A*S*H,Ingo Preminger,Nominee,1970,116,"Comedy,Drama,War",7.5,"Based on the novel by Richard Hooker, ""M*A*S*H"" follows a group of Mobile Army Surgical Hospital officers at they perform surgery and pass the time just miles from the front lines of the Korean Conflict. Led by Captains Hawkeye Pierce (Donald Sutherland) and Trapper John McIntyre (Elliott Gould), they add to the chaos and hilarity of the situation.","Bold, timely, subversive, and above all funny, M*A*S*H remains a high point in Robert Altman's distinguished filmography.",PG,Robert Altman,"Donald Sutherland, Elliott Gould, Sally Kellerman, Robert Duvall, Tom Skerritt, Jo Ann Pflug, Rene Auberjonois, Roger Bowen, Gary Burghoff, David Arkin, Fred Williamson, Michael Murphy, Kim Atwood, Timothy Brown, Indus Arthur, John Schuck, Ken Prymus, Dwayne Damon, Carl Gottlieb, Tamara Horrocks, G. Wood, Bobby Troup, Bud Cort, Danny Goldman, Corey John Fischer, J.B. Douglas, Yoko Young, Ben Davidson, Fran Tarkenton, Howard Williams, Jack Concannon, John Myers, Tom Woodeschick, Tommy Brown, Buck Buchanan, Nolan Smith, Monica Peterson, Cathleen Cordell, Sumi Haru, Susan Ikeda, Masami Saito, John Mamo, Samantha Scott, Tom Falk, Harvey Levine, Dianne Turley, Weaver Levy, Dale Ishimoto, Jerry Jones, Stephen Altman, Hiroko Watanabe, H. Lloyd Nelson, Ted Knight, Marvin Miller",2016-08-10,Certified-Fresh,87.0,Upright,83.0,f65882a5-46f8-42f7-9302-bfc76fd0989d
275,The French Connection,Philip D'Antoni,Winner,1971,104,"Action,Crime,Drama",7.7,"New York Detective ""Popeye"" Doyle (Gene Hackman) and his partner (Roy Scheider) chase a French heroin smuggler.","Realistic, fast-paced and uncommonly smart, The French Connection is bolstered by stellar performances by Gene Hackman and Roy Scheider, not to mention William Friedkin's thrilling production.",R,William Friedkin,"Gene Hackman, Fernando Rey, Roy Scheider, Marcel Bozzuffi, Tony Lo Bianco, Eddie Egan, Irving Abrahams, Frederic de Pasquale, Andre Emotte, Bill Hickman, Arlene Faber, Ann Rebbot, Harold Gary, Arlene Farber, Sonny Grosso, Andre Ernotte, Randy Jurgensen, Patrick McDermott, William Coke, Alan Weeks, Ben Marino, Al Fann, Maureen Mooney, Robert Weil, Don Ellis",2015-11-25,Certified-Fresh,98.0,Upright,87.0,02e62c41-fdb4-401f-a2a5-615fec952f9e
276,A Clockwork Orange,Stanley Kubrick,Nominee,1971,136,"Crime,Drama,Sci-Fi",8.3,"In an England of the future, Alex (Malcolm McDowell) and his ""Droogs"" spend their nights getting high at the Korova Milkbar before embarking on ""a little of the old ultraviolence,"" while jauntily warbling ""Singin' in the Rain."" After he's jailed for bludgeoning the Cat Lady to death, Alex submits to behavior modification technique to earn his freedom; he's conditioned to abhor violence. Returned to the world defenseless, Alex becomes the victim of his prior victims.","Disturbing and thought-provoking, A Clockwork Orange is a cold, dystopian nightmare with a very dark sense of humor.",R,Stanley Kubrick,"Malcolm McDowell, Patrick Magee, Adrienne Corri, Aubrey Morris, Warren Clarke, Michael Bates, John Clive, Carl Duering, Paul Farrell, Clive Francis, Michael Gover, Miriam Karlin, James Marcus, Godfrey Quigley, Sheila Raynor, Madge Ryan, John Savident, Anthony Sharp, Philip Stone, Pauline Taylor, Margaret Tyzack, Steven Berkoff, Lindsay Campbell, Michael Tarn, David Prowse, Jan Adair, Prudence Drage, Vivienne Chandler, John J. Carney, Richard Connaught, Carol Drinkwater, George O'Gorman, Cheryl Grunwald, Gillian Hills, Craig Hunter, Barbara Scott, Virginia Wetherell, Katya Wyeth, Gaye Brown, Peter Burton, Barrie Cookson, Lee Fox, Neil Wilson, Shirley Jaffe",2008-08-15,Certified-Fresh,88.0,Upright,93.0,b19db2e9-f854-4631-99b6-9c4ab7d08077
